symbol,bluechip_score,signal,confidence,close,rsi14,sma20,sma50,sma200,ema20,macd,macd_signal,bb_upper,bb_lower,volume_trend,bullish_engulfing,bearish_engulfing,hammer,shooting_star,doji,morning_star,evening_star,signal_strength,trend_strength,volume_momentum,pattern_confidence,trade_score
SANIMA,0.4573,HOLD,0.5,341.0,62.28237396399127,331.53,328.42,329.60654999999997,332.97488387695273,1.603909621735454,1.0539652374603095,339.03048419489363,324.0295158051063,0.6632260789713066,False,False,False,False,False,False,False,0.5,1.0,0.3316130394856533,0.0,0.5663226078971306
SCB,0.4561,HOLD,0.5,650.0,62.58121619760677,638.895,634.14,631.83715,640.7504365123526,3.532479801993645,2.425021832472525,650.7590500762,627.0309499238,0.42671104856593894,False,False,False,False,False,False,False,0.5,1.0,0.21335552428296947,0.0,0.5426711048565939
CHDC,0.4501,HOLD,0.5,2534.9,63.113683401137955,2436.225,2352.496,2474.35505,2453.085648090749,45.49507889167944,37.47682841730494,2586.2400571390026,2286.209942860997,0.4058626749176757,False,False,False,False,False,False,False,0.5,1.0,0.20293133745883785,0.0,0.5405862674917675
RADHI,0.5452,HOLD,0.5,873.5,63.91784268008457,852.6700000000001,801.052,758.61045,845.1654760424216,14.05963704557439,15.912616820109761,879.4744850921064,825.8655149078937,0.7957434525052387,False,False,False,False,False,False,False,0.5,0.5,0.39787172625261935,0.0,0.42957434525052385
AKJCL,0.4893,HOLD,0.5,371.9,67.05590332760681,354.085,266.202,218.57775,341.42556518469326,26.91721976944615,32.055904508921785,394.3902184162177,313.77978158378227,0.757725613352263,False,False,False,False,False,False,False,0.5,0.5,0.3788628066761315,0.0,0.4257725613352263
NGPL,0.5361,HOLD,0.5,433.9,59.94808010197562,424.53000000000003,409.68800000000005,392.4026,422.8904381141366,5.138605060188922,5.38542049172793,436.896355034609,412.1636449653911,0.7288584897769996,False,False,False,False,False,False,False,0.5,0.5,0.3644292448884998,0.0,0.42288584897769993
NRN,0.4671,HOLD,0.5,1552.0,52.611957311997514,1554.855,1474.406,1888.9886,1532.7607173099439,-2.7890758483613354,6.20879179779974,1670.9940360051396,1438.7159639948604,0.5012682130154217,False,False,False,False,False,False,False,0.5,0.5,0.25063410650771084,0.0,0.40012682130154215
UMHL,0.517,HOLD,0.5,630.5,56.26623599696495,628.6,602.8340000000001,554.2053,622.2320300158481,3.9997484930800056,5.599152003876998,665.1531768365247,592.0468231634753,0.3931955706315435,False,False,False,False,False,False,False,0.5,0.5,0.19659778531577174,0.0,0.38931955706315435
UNHPL,0.4774,HOLD,0.5,496.0,52.67979585508653,497.485,484.17199999999997,435.25245,491.4081987754289,2.2015065556947775,2.6889948380247723,523.9355317825325,471.0344682174676,0.3359905117627414,False,False,False,False,False,False,False,0.5,0.5,0.1679952558813707,0.0,0.38359905117627413
NRIC,0.5307,HOLD,0.5,1250.0,48.06981181626831,1251.77,1267.104,1342.4744999999998,1249.758299415971,-14.967981890081091,-13.946146711906096,1304.080011117915,1199.4599888820849,0.3873047242992959,False,False,False,False,False,False,False,0.5,0.0,0.19365236214964796,0.0,0.23873047242992962
